label,message
spam,"Final notice your account has been suspended, verify now at cash4u.biz"
spam,WINNER!! you have won a $5000 cash prize! Claim now by calling 0180170462
spam,"Alert: lowest prices on gift card, order now at bit.ly/claimnow before offer ends"
ham,See you at the gym at tomorrow morning?
spam,"Congratulations hot singles in your area want to chat, text 0656523413"
ham,Let's grab coffee sometime this week
ham,"I'll be there in 14 minutes, traffic is bad today"
spam,"URGENT! exclusive deal just for you, gift card at 90% off, visit win-prize.net"
ham,Don't forget about the meeting tomorrow at 6pm
ham,"Hey, are we still meeting for lunch noon?"
ham,Are you free this weekend to catch up?
ham,Can we reschedule our call to 5pm?
spam,"You have been selected your parcel could not be delivered, pay a fee at bit.ly/claimnow"
ham,Can we reschedule our call to 6pm?
ham,Mom said dinner will be ready by tomorrow morning
ham,What time does the movie start tonight?
ham,What time does the movie start tonight?
ham,Let's grab coffee sometime this week
ham,"Hey, are we still meeting for lunch 9am?"
ham,Can you send me the notes from class?
spam,"Final notice lowest prices on laptop, order now at win-prize.net before offer ends"
ham,See you at the gym at 9am?
ham,What time does the movie start tonight?
ham,Happy birthday! Hope you have a wonderful day
spam,"WINNER!! lowest prices on laptop, order now at win-prize.net before offer ends"
spam,"Dear customer double your money in 24 hours, click cash4u.biz to invest"
ham,See you at the gym at 7:30?
ham,"The meeting has been moved to 9am, see you then"
spam,"URGENT! hot singles in your area want to chat, text 0836134074"
ham,Don't forget about the meeting tomorrow at 8pm
ham,Don't forget about the appointment tomorrow at 9am
ham,What time does the movie start tonight?
ham,Mom said dinner will be ready by 6pm
ham,"Hey, are we still meeting for lunch 7:30?"
spam,"WINNER!! act now to avoid your account being closed, visit secure-verify.com"
spam,Alert: you've won a brand new smartwatch! Text WIN to 0154100676 to claim
ham,Can you send me the notes from class?
ham,Are you free this weekend to catch up?
spam,"Attention exclusive deal just for you, voucher at 90% off, visit cash4u.biz"
ham,Let me know if you need anything from the store
ham,"I finished the report, sending it over now"
ham,Don't forget about the class tomorrow at noon
ham,What time does the movie start tonight?
ham,What time does the movie start tonight?
ham,Happy birthday! Hope you have a wonderful day
ham,"I finished the report, sending it over now"
ham,Can you pick up my package on your way home?
ham,Can you send me the notes from class?
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,Mom said dinner will be ready by 9am
ham,"I'm running late, be there in 17 mins"
spam,WINNER!! you've won a brand new laptop! Text WIN to 0594406409 to claim
spam,"Final notice your parcel could not be delivered, pay a fee at cash4u.biz"
spam,"Alert: claim your free laptop today, reply YES to 0784991216"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,Final notice you have won a $50 cash prize! Claim now by calling 0835615951
ham,What time does the movie start tonight?
spam,"WINNER!! double your money in 24 hours, click secure-verify.com to invest"
ham,Can we reschedule our call to 8pm?
ham,Don't forget about the dinner tomorrow at 7:30
ham,"I'm running late, be there in 19 mins"
spam,"Congratulations hot singles in your area want to chat, text 0183933529"
ham,Happy birthday! Hope you have a wonderful day
spam,"Dear customer hot singles in your area want to chat, text 0001701277"
ham,"The meeting has been moved to 5pm, see you then"
ham,"Hey, are we still meeting for lunch 8pm?"
ham,"Hey, are we still meeting for lunch 8pm?"
ham,Let's grab coffee sometime this week
spam,"FREE ENTRY double your money in 24 hours, click get-free.co to invest"
ham,"I'll be there in 16 minutes, traffic is bad today"
ham,Can you pick up bread on your way home?
ham,Great job on the presentation today!
spam,"Dear customer you have unclaimed rewards worth $500, respond ASAP"
spam,"Limited time offer double your money in 24 hours, click get-free.co to invest"
ham,"I'll be there in 7 minutes, traffic is bad today"
ham,Let me know if you need anything from the store
ham,"I'm running late, be there in 3 mins"
spam,"You have been selected claim your free laptop today, reply YES to 0390847007"
ham,"Hey, are we still meeting for lunch tomorrow morning?"
ham,Can you pick up my package on your way home?
ham,Happy birthday! Hope you have a wonderful day
spam,"You have been selected double your money in 24 hours, click win-prize.net to invest"
spam,"Dear customer your loan of £250 has been approved, click secure-verify.com to receive"
spam,"Dear customer your parcel could not be delivered, pay a fee at secure-verify.com"
spam,"Attention act now to avoid your account being closed, visit win-prize.net"
spam,"Alert: get a loan approved instantly, no credit check, call 0534874016"
ham,Great job on the presentation today!
spam,"URGENT! lowest prices on iPhone, order now at get-free.co before offer ends"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"Just landed, will call you once I get home"
spam,"Congratulations your parcel could not be delivered, pay a fee at get-free.co"
ham,Let's grab coffee sometime this week
ham,"I'll be there in 20 minutes, traffic is bad today"
ham,Happy birthday! Hope you have a wonderful day
ham,Great job on the presentation today!
spam,"Final notice your subscription will renew for $5000, cancel at bit.ly/claimnow"
spam,"Dear customer claim your free smartwatch today, reply YES to 0022941318"
ham,What time does the movie start tonight?
ham,Mom said dinner will be ready by 6pm
spam,"Alert: claim your free gift card today, reply YES to 0782613750"
ham,"Hey, are we still meeting for lunch 6pm?"
ham,"Hey, are we still meeting for lunch noon?"
spam,"URGENT! double your money in 24 hours, click win-prize.net to invest"
spam,"FREE ENTRY your subscription will renew for $50, cancel at win-prize.net"
spam,"Congratulations you are eligible for a free holiday package, call 0747016873 now"
spam,"Final notice you are eligible for a free voucher, call 0201632870 now"
ham,Can we reschedule our call to tomorrow morning?
ham,Great job on the presentation today!
spam,You have been selected you have won a $5000 cash prize! Claim now by calling 0030673830
spam,"Limited time offer exclusive deal just for you, cruise ticket at 90% off, visit bit.ly/claimnow"
spam,"You have been selected hot singles in your area want to chat, text 0865185067"
ham,Are you free this weekend to catch up?
spam,"You have been selected double your money in 24 hours, click get-free.co to invest"
spam,"You have been selected your account has been suspended, verify now at bit.ly/claimnow"
ham,Happy to help with the project this weekend
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"I'll be there in 5 minutes, traffic is bad today"
spam,"WINNER!! your subscription will renew for £250, cancel at get-free.co"
spam,"URGENT! act now to avoid your account being closed, visit cash4u.biz"
spam,"Limited time offer hot singles in your area want to chat, text 0729825952"
ham,"The meeting has been moved to tomorrow morning, see you then"
ham,"I finished the report, sending it over now"
ham,Can we reschedule our call to 6pm?
spam,You have been selected you've won a brand new cruise ticket! Text WIN to 0899809402 to claim
ham,"I'm running late, be there in 10 mins"
ham,Are you free this weekend to catch up?
spam,WINNER!! you've won a brand new laptop! Text WIN to 0908386379 to claim
ham,Can you send me the notes from class?
ham,Can you send me the notes from class?
spam,"Limited time offer lowest prices on cruise ticket, order now at secure-verify.com before offer ends"
spam,"You have been selected your parcel could not be delivered, pay a fee at cash4u.biz"
spam,"You have been selected exclusive deal just for you, smartwatch at 90% off, visit bit.ly/claimnow"
ham,Are you free this weekend to catch up?
ham,"I finished the report, sending it over now"
ham,Let's grab coffee sometime this week
ham,"I'll be there in 17 minutes, traffic is bad today"
spam,"Limited time offer your subscription will renew for $50, cancel at get-free.co"
ham,Can you pick up some groceries on your way home?
ham,Can we reschedule our call to tomorrow morning?
ham,Can we reschedule our call to noon?
spam,Final notice you've won a brand new voucher! Text WIN to 0424154152 to claim
spam,"Dear customer lowest prices on cruise ticket, order now at get-free.co before offer ends"
ham,Let me know if you need anything from the store
ham,Great job on the presentation today!
ham,What time does the movie start tonight?
spam,Congratulations you have won a £250 cash prize! Claim now by calling 0304078593
spam,"Limited time offer your parcel could not be delivered, pay a fee at cash4u.biz"
ham,Are you free this weekend to catch up?
ham,"I finished the report, sending it over now"
ham,See you at the gym at 6pm?
ham,Don't forget about the party tomorrow at 7:30
ham,See you at the gym at 6pm?
spam,"FREE ENTRY act now to avoid your account being closed, visit get-free.co"
ham,"I finished the report, sending it over now"
ham,Great job on the presentation today!
ham,Are you free this weekend to catch up?
spam,"Final notice get a loan approved instantly, no credit check, call 0892687056"
ham,Can you send me the notes from class?
ham,Happy to help with the project this weekend
ham,What time does the movie start tonight?
ham,"Just landed, will call you once I get home"
spam,"Limited time offer your loan of $10,000 has been approved, click win-prize.net to receive"
ham,"I'll be there in 8 minutes, traffic is bad today"
ham,Happy to help with the project this weekend
spam,"Alert: you have unclaimed rewards worth $5000, respond ASAP"
spam,FREE ENTRY you have won a $50 cash prize! Claim now by calling 0805009788
ham,Let me know if you need anything from the store
ham,Are you free this weekend to catch up?
spam,"Limited time offer act now to avoid your account being closed, visit win-prize.net"
spam,"Attention get a loan approved instantly, no credit check, call 0010393087"
spam,"Dear customer your subscription will renew for $1000, cancel at secure-verify.com"
ham,Can we reschedule our call to 9am?
ham,Let me know if you need anything from the store
ham,"I'll be there in 18 minutes, traffic is bad today"
ham,Let's grab coffee sometime this week
ham,What time does the movie start tonight?
ham,"I'll be there in 16 minutes, traffic is bad today"
spam,Congratulations you have won a £250 cash prize! Claim now by calling 0727790104
ham,"I'm running late, be there in 2 mins"
spam,"Final notice your parcel could not be delivered, pay a fee at cash4u.biz"
ham,"Hey, are we still meeting for lunch tomorrow morning?"
spam,"URGENT! get a loan approved instantly, no credit check, call 0952145623"
ham,"Just landed, will call you once I get home"
ham,Can we reschedule our call to 8pm?
spam,"WINNER!! your account has been suspended, verify now at win-prize.net"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"WINNER!! act now to avoid your account being closed, visit secure-verify.com"
ham,What time does the movie start tonight?
spam,"URGENT! your account has been suspended, verify now at secure-verify.com"
ham,"I finished the report, sending it over now"
spam,"Alert: your parcel could not be delivered, pay a fee at cash4u.biz"
spam,"Alert: your subscription will renew for £250, cancel at cash4u.biz"
spam,"Final notice your account has been suspended, verify now at win-prize.net"
ham,Happy birthday! Hope you have a wonderful day
spam,"Limited time offer your parcel could not be delivered, pay a fee at win-prize.net"
